Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Outage Hour,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected,,
01/01/2022,0.525,01/01/2022,2:12 PM,1/2/1900,12:00:00 AM,Washington: Thurston County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,Equipment Failure,0,0,,
01/01/2022,0.525,01/02/2022,7:43 PM,2/24/1900,+6,Washington: Thurston County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",System Operations,Equipment Failure,0,0,,
01/01/2022,0.042361111,Unknown,Unknown,#VALUE!,#VALUE!,Georgia: Clayton County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
01/01/2022,0.004166667,01/01/2022,5:51 AM,1/5/1900,12:00:00 AM,New Hampshire: Merrimack County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Suspicious Activity,2,845,,
01/02/2022,0.55625,01/02/2022,5:38 PM,1/4/1900,12:00:00 AM,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,Natural Disaster,3,1706,,
01/03/2022,0.53125,01/03/2022,12:46 PM,1/0/1900,12:00:00 AM,Washington: Thurston County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Human Attack,0,0,,
01/03/2022,0.208333333,01/04/2022,6:00 PM,3/1/1900,+6,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,60424,,
01/03/2022,0.229166667,01/04/2022,12:30 PM,2/24/1900,+6,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,142000,,
01/03/2022,0.041666667,01/03/2022,2:00 PM,1/13/1900,+6,Georgia: Alabama: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,283,40885,,
01/05/2022,0.522222222,01/05/2022,12:45 PM,1/0/1900,12:00:00 AM,Massachusetts: Plymouth County;,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
01/08/2022,0.097222222,01/12/2022,7:40 AM,5/4/1900,+6,Florida: Citrus County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
01/08/2022,0.754861111,01/08/2022,0.934722222,4,6,New Hampshire: Merrimack County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Suspicious Activity,0,0,,
01/08/2022,0.122222222,01/08/2022,3:03 AM,1/1/1900,12:00:00 AM,"Texas: Cameron County, Willacy County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
01/09/2022,0.755555556,Unknown,Unknown,#VALUE!,#VALUE!,Mississippi: Adams County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,Unknown,Unknown,,
01/12/2022,0.388888889,01/12/2022,10:25 AM,1/1/1900,12:00:00 AM,Indiana: Kentucky: Ohio:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,Unknown,Unknown,,
01/13/2022,0.666666667,01/13/2022,4:01 PM,1/0/1900,12:00:00 AM,Massachusetts: Hampden County[13];,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,Suspicious Activity,0,0,,
01/14/2022,0.576388889,01/14/2022,2:13 PM,1/1/1900,12:00:00 AM,Pennsylvania: Bucks County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Suspicious Activity,0,0,,
01/14/2022,0.356944444,01/14/2022,8:42 AM,1/0/1900,12:00:00 AM,Texas: Potter County; New Mexico:,TRE/WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0,,
01/15/2022,0.589583333,01/15/2022,2:28 PM,1/0/1900,12:00:00 AM,New York: Orange County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
01/16/2022,0.503472222,01/17/2022,8:45 AM,2/13/1900,+6,North Carolina: Jackson County; South Carolina: Greenville County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,51289,,
01/16/2022,0.552083333,01/16/2022,5:15 PM,1/4/1900,12:00:00 AM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,74638,,
01/16/2022,0.21875,01/17/2022,12:06 AM,2/12/1900,+6,Georgia: Alabama:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,436,61113,,
01/18/2022,0.931944444,01/18/2022,10:23 PM,1/0/1900,12:00:00 AM,Texas: Harris County;,TRE,Cyber Security Incident that was an attempt to compromise a High or Medium Impact Bulk Electric System Cyber System or their associated Electronic Access Control or Monitoring Systems,Cyber Event,Human Attack,0,0,,
01/19/2022,0.607638889,01/19/2022,4:02 PM,1/2/1900,12:00:00 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/20/2022,0.83125,01/21/2022,5:30 AM,2/3/1900,+6,Mississippi: Arkansas: Louisiana: Texas:,TRE/SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,Natural Disaster,0,0,,
01/20/2022,0.375,01/20/2022,9:59 AM,1/0/1900,12:00:00 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/23/2022,0.025694444,01/23/2022,12:42 AM,1/0/1900,12:00:00 AM,Pennsylvania: Westmoreland County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
01/24/2022,0.435416667,01/24/2022,10:51 AM,1/0/1900,12:00:00 AM,Washington: Chelan County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
01/24/2022,0.493055556,01/24/2022,4:00 PM,1/5/1900,12:00:00 AM,"New York: Dutchess County, Greene County;",NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Human Attack,0,0,,
01/26/2022,0.567361111,01/26/2022,2:15 PM,1/1/1900,12:00:00 AM,Florida: Leon County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/27/2022,0.479166667,01/27/2022,11:31 AM,1/0/1900,12:00:00 AM,Nevada: Clark County;,WECC," Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Vandalism,Human Attack,0,0,,
01/28/2022,0.653472222,01/28/2022,9:30 PM,1/6/1900,12:00:00 AM,"Colorado: Douglas County, Pueblo County, El Paso County, Prowers County;",WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0,,
01/29/2022,0.364583333,01/30/2022,1:00 AM,2/10/1900,+6,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,120,12000,,
01/30/2022,0.861805556,01/31/2022,12:42 AM,1/28/1900,+6,Nebraska:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
01/31/2022,0.831944444,01/31/2022,8:10 PM,1/1/1900,12:00:00 AM,West Virginia: Monongalia County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
02/01/2022,0.509027778,02/01/2022,12:25 PM,1/0/1900,12:00:00 AM,California: Yuba County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,Equipment Failure,10,8124,,
02/03/2022,0.416666667,02/07/2022,8:00 PM,5/9/1900,+6,Tennessee: Shelby County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Natural Disaster,Unknown,255000,,
02/03/2022,0.538888889,02/04/2022,8:30 PM,2/25/1900,+6,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Natural Disaster,Unknown,51000,,
02/03/2022,0.538888889,Unknown,Unknown,#VALUE!,#VALUE!,Ohio:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Natural Disaster,Unknown,51000,,
02/04/2022,0.764583333,02/04/2022,10:00 PM,1/4/1900,12:00:00 AM,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Equipment Failure,Unknown,Unknown,,
02/04/2022,0.548611111,Unknown,Unknown,#VALUE!,#VALUE!,New York: Ulster County;,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,Natural Disaster,Unknown,67404,,
02/09/2022,0.291666667,02/09/2022,9:00 AM,1/2/1900,12:00:00 AM,New York: Orange County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Human Attack,0,0,,
02/12/2022,0.686805556,02/12/2022,4:30 PM,1/0/1900,12:00:00 AM,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Human Attack,Unknown,Unknown,,
02/17/2022,0.4375,02/17/2022,10:31 AM,1/0/1900,12:00:00 AM,Rhode Island: Providence County[13];,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
02/17/2022,0.00625,02/17/2022,7:36 AM,1/7/1900,+6,Louisiana: Lafayette Parish;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,80,0,,
02/18/2022,0.298611111,02/18/2022,4:25 PM,1/9/1900,+6,Connecticut: Maine: Massachusetts: New Hampshire: Vermont: Rhode Island:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,7,7047,,
02/22/2022,0.465277778,02/22/2022,12:15 PM,1/1/1900,12:00:00 AM,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
02/24/2022,0.434027778,02/24/2022,10:31 AM,1/0/1900,12:00:00 AM,Texas: Montgomery County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,3,1405,,
02/24/2022,0.047916667,02/24/2022,2:59 AM,1/1/1900,12:00:00 AM,"California: San Bernardino County, Kern County, Solano County, San Diego County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,246,0,,
02/25/2022,0.396527778,02/25/2022,1:09 PM,1/4/1900,12:00:00 AM,Texas: Travis County; California: San Diego County;,TRE, Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
02/26/2022,0.46875,02/26/2022,5:00 PM,1/6/1900,12:00:00 AM,Washington: Grant County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,Human Attack,0,0,,
02/28/2022,0.392361111,02/28/2022,9:26 AM,1/0/1900,12:00:00 AM,Texas: Mitchell County;,TRE, Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
03/01/2022,0.571527778,03/01/2022,1:47 PM,1/0/1900,12:00:00 AM,"Indiana: Marion County, Shelby County, Hendricks County;",RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
03/02/2022,0.393055556,03/02/2022,10:05 AM,1/1/1900,12:00:00 AM,North Carolina: South Carolina:,SERC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
03/05/2022,0.956944444,03/06/2022,7:38 PM,2/14/1900,+6,Illinois: DuPage County;,SERC/RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
03/06/2022,0.104166667,03/06/2022,5:00:00 PM,1/15/1900,+6,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,Human Attack,0,0,,
03/08/2022,0.576388889,03/08/2022,2:39:00 PM,1/1/1900,12:00:00 AM,Georgia: Terrell County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,48,5855,,
03/10/2022,0.36875,03/10/2022,3:15:00 PM,1/7/1900,+6,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0,,
03/11/2022,0.274305556,03/11/2022,7:00:00 AM,1/1/1900,12:00:00 AM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
03/12/2022,0.35625,Unknown,Unknown,#VALUE!,#VALUE!,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,139,19380,,
