Year,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Duration Type,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected
2003,5,5/15/2003,2:52 AM,5/15/2003,3:30:00 AM,1,2,North Texas,ERCOT,,Interruption of Firm ,Equipment Failure,476,192000
2003,7,7/15/2003,8:24 AM,7/21/2003,10:30:00 AM,146,6,Texas,ERCOT,,Hurricane Claudette,Natural Disasters,230-300,108000
2004,3,3/4/2004,5:00 AM,3/16/2004,2:45:00 PM,298,6,North Texas,ERCOT,,High Winds - Severe Storm,Natural Disasters,Less than 300,63000
2004,3,3/17/2004,1:27 PM,3/17/2004,2:06:00 PM,1,2,"El Paso, Texas",WECC,,Faulty Switch,Equipment Failure,Approx. 300,"Approx. 100,000"
2004,4,4/10/2004,8:00 PM,4/11/2004,4:00:00 PM,20,6,"Houston, Texas and surrounding suburban areas",ERCOT,,Thunderstorms,Natural Disasters,Approx. 100,"85,000 at peak"
2004,5,5/11/2004,3:30 PM,5/11/2004,6:00:00 PM,3,4,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,Natural Disasters,Approx. 85,"62,500 at peak "
2004,6,6/1/2004,5:00 PM,6/2/2004,1:00:00 AM,8,6,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",ERCOT,,Severe Storms with Strong Winds,Natural Disasters,1900,500000
2004,8,8/2/2004,10:00 AM,8/2/2004,8:00:00 PM,10,6,Southeast Texas,SPP,,Unplanned Generator Outage/High Loads Made Public Appeal,Planned Outage,-,-
2004,11,11/23/2004,10:00 PM,11/24/2004,1:00:00 AM,3,4,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,Natural Disasters,150,119000
2005,5,5/8/2005,3:00 PM,5/8/2005,10:00:00 PM,7,6,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,Natural Disasters,672,243000
2005,5,5/29/2005,8:00 PM,5/30/2005,2:30:00 AM,7,6,"Houston, Texas and surrounding suburban areas",ERCOT,,Strong Thunderstorms,Natural Disasters,328,123000
2005,7,7/1/2005,N/A,N/A,N/A,N/A,NA,"Texas, New Mexico, Oklahoma, Kansas",ERCOT,,Fuel Supply - Deficiency Coal Rail Transporation Interruption,Fuel Deficiency,0,0
2005,9,9/23/2005,5:00 PM,9/24/2005,8:00:00 PM,27,6,"Houston, Texas and the surrounding suburban areas",ERCOT,,Hurricane Rita,Natural Disasters,1950,715000
2005,9,9/23/2005,9:00 PM,9/25/2005,7:30:00 AM,35,6,"Texas, Louisiana, Arkansas, and Mississippi",SPP,,Hurricane Rita,Natural Disasters,N/A,766000
2006,3,3/9/2006,2:00 PM,3/9/2006,10:00:00 PM,8,6,"Arkansas, Mississippi, Louisiana, Southeast Texas",SERC,,Severe Weather,Natural Disasters,N/A,73000
2006,4,4/17/2006,3:25 PM,4/17/2006,7:30:00 PM,4,4,ERCOT Region of Texas,ERCOT,,Load Shed/Declared EECP,Planned Outage,1000,200000
2006,4,4/17/2006,4:10 PM,4/17/2006,6:11:00 PM,2,2,System-wide greater Houston metro area (and across ERCOT),ERCOT,,Load Shed/Made Public Appeals/Rolling Blackouts,Planned Outage,260,68000
2006,4,4/17/2006,4:11 PM,4/17/2006,7:20:00 PM,3,4,North and East Texas,ERCOT,,Load Shed/ Declared EECP,Planned Outage,380,489478
