,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,genextreme,0.1501872276363673,8.093346719629892,4.652816414982549,"(0.046008424015157263,)","(0.046008424015157263, 8.093346719629892, 4.652816414982549)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3DA805AE0>,0,,#e41a1c
1,lognorm,0.15090694354494366,-9.007077943932085,18.8234506547371,"(0.2833010289399311,)","(0.2833010289399311, -9.007077943932085, 18.8234506547371)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D93B4790>,0,,#e41a1c
2,beta,0.15206840300323976,-3.9787760143832673,1408764.6295593204,"(6.669583852309392, 644709.5875384451)","(6.669583852309392, 644709.5875384451, -3.9787760143832673, 1408764.6295593204)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D4D495D0>,0,,#377eb8
3,gamma,0.1521513831126544,-4.184289867662777,2.1347987474890533,"(6.919787581058711,)","(6.919787581058711, -4.184289867662777, 2.1347987474890533)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D7C13B20>,0,,#4daf4a
4,dweibull,0.16247140683492423,9.851220604699597,4.696496940345906,"(1.2065156092291236,)","(1.2065156092291236, 9.851220604699597, 4.696496940345906)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D6E3FA00>,0,,#984ea3
5,t,0.1641394196342894,10.231448474046438,5.106448026505458,"(10.41579127541969,)","(10.41579127541969, 10.231448474046438, 5.106448026505458)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D75DADD0>,0,,#ff7f00
6,loggamma,0.16636759956610425,-1854.4845728150995,247.48452867974243,"(1874.5234346085308,)","(1874.5234346085308, -1854.4845728150995, 247.48452867974243)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3DA8299C0>,0,,#ffff33
7,norm,0.16643060206642266,10.588068449793225,5.665340030944225,(),"(10.588068449793225, 5.665340030944225)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D6E3C850>,0,,#a65628
8,uniform,0.22104802922647138,0.0,27.84858558171674,(),"(0.0, 27.84858558171674)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D4D49390>,0,,#f781bf
9,expon,0.2364146599229818,0.0,10.588068449793225,(),"(0.0, 10.588068449793225)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D6BBE8F0>,0,,#999999
10,pareto,0.23641466100552672,-536870912.0,536870911.99999994,"(50705274.60653301,)","(50705274.60653301, -536870912.0, 536870911.99999994)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x000001A3D75DACB0>,0,,#999999
