Month,Day,Hour,DC Output (W),AC Output (W),Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C)
1,1,0,0,0,0,0,12,2.8,0.14,0,12
1,1,1,0,0,0,0,11,3,0.14,0,11
1,1,2,0,0,0,0,11,3.5,0.14,0,11
1,1,3,0,0,0,0,10,4,0.14,0,10
1,1,4,0,0,0,0,9,4.3,0.14,0,9
1,1,5,0,0,0,0,9,4.5,0.14,0,9
1,1,6,0,0,0,0,8,4.5,0.14,0,8
1,1,7,0,0,0,0,8,4.6,0.14,0,0
1,1,8,161.525,139.948,0,50,8,4.8,0.14,48.213,8.868
1,1,9,421.091,390.315,0,122,8,5.1,0.14,120.636,10.096
1,1,10,451.886,420.019,0,134,8,5.2,0.14,130.257,10.23
1,1,11,908.389,860.347,29,227,9,5.1,0.14,260.56,13.512
1,1,12,1357.95,1293.978,108,281,9,4.9,0.14,388.882,15.909
1,1,13,385.094,355.594,0,118,10,4.6,0.14,113.158,12.088
1,1,14,470.283,437.765,0,140,9,4.4,0.14,136.229,11.586
1,1,15,1699.464,1623.391,600,97,9,4,0.14,475.955,18.628
1,1,16,366.125,337.298,49,82,8,3,0.14,106.426,10.497
1,1,17,16.08,0,0,8,6,2.2,0.14,7.759,6.182
1,1,18,0,0,0,0,6,2,0.14,0,6
1,1,19,0,0,0,0,5,2.1,0.14,0,5
1,1,20,0,0,0,0,5,2.3,0.14,0,5
1,1,21,0,0,0,0,4,2.8,0.14,0,4
1,1,22,0,0,0,0,4,3.4,0.14,0,4
1,1,23,0,0,0,0,3,3.7,0.14,0,3
1,2,0,0,0,0,0,2,3.8,0.14,0,2
1,2,1,0,0,0,0,2,3.7,0.14,0,2
1,2,2,0,0,0,0,2,3.4,0.14,0,2
1,2,3,0,0,0,0,1,3.2,0.14,0,1
1,2,4,0,0,0,0,1,3,0.14,0,1
1,2,5,0,0,0,0,1,2.9,0.14,0,1
1,2,6,0,0,0,0,1,2.9,0.14,0,1
1,2,7,0,0,0,0,1,3.2,0.14,0,0
1,2,8,177.763,155.61,0,53,1,3.7,0.14,51.478,2.08
1,2,9,605.408,568.102,38,140,2,3.8,0.14,167.984,5.484
1,2,10,868.013,821.401,45,201,3,3.6,0.14,242.724,8.178
1,2,11,1185.851,1127.977,78,257,4,3.5,0.14,334.437,11.235
1,2,12,1292.543,1230.889,86,277,4,3.4,0.14,365.704,12.032
1,2,13,1403.536,1337.949,122,271,5,3.4,0.14,397.758,13.744
1,2,14,1355.929,1292.029,179,228,5,3.3,0.14,381.134,13.531
1,2,15,1017.195,965.297,180,161,5,3,0.14,283.123,11.673
1,2,16,600.479,563.347,184,82,4,2.1,0.14,171.212,8.729
1,2,17,24.91,8.173,0,12,3,1.3,0.14,11.638,3.331
1,2,18,0,0,0,0,2,1.2,0.14,0,2
1,2,19,0,0,0,0,2,1.1,0.14,0,2
1,2,20,0,0,0,0,2,1,0.14,0,2
1,2,21,0,0,0,0,1,1,0.14,0,1
1,2,22,0,0,0,0,1,1.1,0.14,0,1
1,2,23,0,0,0,0,0,1.2,0.14,0,0
1,3,0,0,0,0,0,0,1.4,0.14,0,0
1,3,1,0,0,0,0,0,1.5,0.14,0,0
1,3,2,0,0,0,0,0,1.7,0.14,0,0
1,3,3,0,0,0,0,0,2.2,0.14,0,0
1,3,4,0,0,0,0,0,2.4,0.14,0,0
1,3,5,0,0,0,0,0,2.5,0.14,0,0
1,3,6,0,0,0,0,0,2.9,0.14,0,0
1,3,7,0,0,0,0,0,3.2,0.14,0,0
1,3,8,212.741,189.349,0,62,2,3.6,0.14,61.5,3.31
1,3,9,1311.94,1249.598,373,126,5,4.1,0.14,361.551,12.203
1,3,10,581.427,544.97,4,165,6,4.2,0.14,165.571,9.232
1,3,11,144.939,123.949,0,46,8,4.1,0.14,43.602,8.862
1,3,12,541.331,506.295,0,162,9,4.1,0.14,157.571,12.112
1,3,13,453.37,421.451,0,137,9,4.1,0.14,132.272,11.614
1,3,14,137.848,117.109,0,44,10,4,0.14,41.686,10.837
1,3,15,563.126,527.318,24,147,9,3.7,0.14,161.002,12.388
1,3,16,136.845,116.142,0,43,7,2.5,0.14,40.72,8.044
1,3,17,7.822,0,0,4,5,1.5,0.14,3.879,5.105
1,3,18,0,0,0,0,5,1.6,0.14,0,5
1,3,19,0,0,0,0,4,1.8,0.14,0,4
1,3,20,0,0,0,0,4,2,0.14,0,4
1,3,21,0,0,0,0,3,2.2,0.14,0,3
1,3,22,0,0,0,0,3,2.5,0.14,0,3
1,3,23,0,0,0,0,3,2.6,0.14,0,3
1,4,0,0,0,0,0,3,2.4,0.14,0,3
1,4,1,0,0,0,0,3,2.5,0.14,0,3
1,4,2,0,0,0,0,3,2.8,0.14,0,3
1,4,3,0,0,0,0,2,2.8,0.14,0,2
