,probs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.241730337,0.003275736,6.12E-06,1.49E-07,7.16E-08,5.28E-07,2.81E-05,0.003308746,0.2099211,1.9615756,2.7394164,2.9426956,2.9295263,2.8846245,2.7782755,2.433677,1.4478819,0.27803427,0.017351631,0.000398149,6.89E-06,2.37E-07,4.91E-08,2.16E-07,0.000295626
1,0.241730337,0.00165277,1.81E-06,4.14E-08,2.89E-08,3.94E-07,3.53E-05,0.004201444,0.14067836,0.58678275,0.5916046,0.38829014,0.34719864,0.5357236,0.9310249,1.1168078,0.6688385,0.10866711,0.003483065,3.48E-05,2.82E-07,7.22E-09,2.10E-09,1.95E-08,8.79E-05
2,0.241730337,0.00061988,5.05E-07,1.84E-08,1.33E-08,7.63E-08,2.87E-06,0.000493538,0.10421383,2.3415473,2.9830122,3.0567944,3.0498943,3.0300648,2.9842303,2.761011,1.6858804,0.16625348,0.003424128,1.69E-05,5.00E-08,5.27E-10,1.37E-10,3.03E-09,4.34E-05
3,0.241730337,0.002201241,3.34E-06,7.82E-08,2.85E-08,1.56E-07,8.56E-06,0.001420757,0.12660468,1.4902589,2.4256206,2.689265,2.608719,2.389604,2.0740578,1.5570091,0.6574039,0.09014968,0.002563962,1.88E-05,8.79E-08,1.13E-09,2.22E-10,3.42E-09,4.27E-05
4,0.241730337,0.002622867,4.26E-06,1.21E-07,1.01E-07,1.35E-06,9.27E-05,0.008367902,0.24813886,1.0495042,1.2084848,0.9677214,0.8469539,0.9753616,1.226705,1.3140011,0.9572912,0.3002832,0.020002792,0.00027273,1.66E-06,2.29E-08,4.54E-09,4.31E-08,0.0001545
5,0.241730337,0.003355573,6.92E-06,1.90E-07,8.66E-08,5.79E-07,3.04E-05,0.003690214,0.23089108,1.9330204,2.6873238,2.9001477,2.869867,2.7904634,2.6282108,2.2166922,1.253467,0.2540216,0.014501235,0.000231459,2.29E-06,4.88E-08,8.98E-09,6.03E-08,0.000169825
6,0.382924923,0.00059104,2.65E-07,3.89E-09,2.19E-09,1.90E-08,4.25E-07,4.12E-06,6.28E-06,1.71E-06,3.11E-07,1.63E-07,6.78E-07,2.23E-05,0.001708202,0.049028568,0.12156315,0.018839747,0.000362696,3.52E-06,5.09E-08,1.75E-09,2.92E-10,1.55E-09,1.65E-05
7,0.060597536,0.002489432,5.13E-06,2.05E-07,1.24E-07,6.01E-07,1.68E-05,0.001623854,0.13895674,1.8244857,2.5476878,2.672119,2.2854717,1.8676761,1.6347561,1.3911359,0.87087893,0.21914415,0.009129013,5.52E-05,1.24E-07,8.89E-10,2.14E-10,5.83E-09,7.20E-05
8,0.241730337,0.00202952,3.70E-06,1.55E-07,1.11E-07,7.90E-07,3.36E-05,0.003422736,0.21374205,1.9127498,2.6794386,2.8951468,2.8823764,2.8488526,2.7688107,2.4353855,1.3507651,0.1858398,0.007263769,9.69E-05,9.71E-07,2.52E-08,6.54E-09,5.78E-08,0.000175752
9,0.382924923,0.00443171,8.79E-06,2.18E-07,1.66E-07,1.96E-06,4.24E-05,0.000246571,0.00023434,7.81E-05,3.16E-05,3.94E-05,0.000200721,0.002810588,0.046477064,0.3147555,0.48759434,0.17810242,0.020093864,0.001742321,0.000213518,3.35E-05,6.66E-06,6.28E-06,0.001182693
10,0.241730337,0.004418461,1.27E-05,5.16E-07,3.55E-07,2.46E-06,7.79E-05,0.004674791,0.15709512,1.067566,1.6719389,1.730305,1.5551754,1.4937428,1.5182256,1.3925599,0.9111099,0.2583359,0.018216155,0.000376027,4.86E-06,1.24E-07,2.28E-08,1.17E-07,0.000221954
11,0.241730337,0.00301279,4.75E-06,1.05E-07,5.73E-08,4.50E-07,9.65E-06,9.22E-05,0.000157467,6.12E-05,1.63E-05,9.26E-06,2.28E-05,0.000251197,0.005838261,0.0796315,0.2042437,0.07267329,0.005146917,0.000195646,9.68E-06,8.11E-07,1.67E-07,3.83E-07,0.000321783
12,0.382924923,0.000425862,1.24E-07,8.09E-10,1.32E-10,4.44E-10,3.24E-08,2.53E-05,0.037778597,2.791508,3.0751977,3.0817556,3.0811663,3.0762846,3.042272,2.7678993,1.3699057,0.11170991,0.001462645,2.21E-06,1.51E-09,7.88E-12,4.12E-12,4.32E-10,2.30E-05
13,0.060597536,0.003275736,6.12E-06,1.49E-07,7.16E-08,5.28E-07,2.81E-05,0.003308746,0.2099211,1.9615756,2.7394164,2.9426956,2.9295263,2.8846245,2.7782755,2.433677,1.4478819,0.27803427,0.017351631,0.000398149,6.89E-06,2.37E-07,4.91E-08,2.16E-07,0.000295626
14,0.241730337,0.000915308,4.09E-07,3.92E-09,2.74E-09,8.62E-08,1.95E-05,0.00348217,0.095280215,0.25834042,0.13262156,0.039802074,0.022935888,0.04040612,0.12408789,0.27131823,0.2525893,0.071640246,0.003595549,2.45E-05,5.21E-08,2.81E-10,4.42E-11,8.41E-10,1.93E-05
15,0.382924923,0.002410847,3.00E-06,5.84E-08,4.08E-08,5.78E-07,3.84E-05,0.002755042,0.06918898,0.38356817,0.6434814,0.65450567,0.6514651,0.755956,0.93484616,0.96555716,0.6007294,0.13628219,0.008950656,0.000256979,6.20E-06,2.56E-07,4.57E-08,1.39E-07,0.000192588
16,0.060597536,0.001138151,5.54E-07,5.28E-09,3.72E-09,8.83E-08,5.35E-06,6.00E-05,4.92E-05,7.04E-06,8.92E-07,4.95E-07,2.86E-06,0.000122915,0.008968229,0.18417108,0.41664392,0.12174064,0.005949724,0.000114805,1.95E-06,5.56E-08,6.66E-09,1.59E-08,4.78E-05
17,0.060597536,0.000405848,1.63E-07,2.97E-09,2.24E-09,3.44E-08,3.01E-06,0.000294779,0.006865535,0.0186008,0.013153491,0.009543037,0.017524282,0.076496825,0.3480746,0.64568895,0.28685114,0.01754006,0.00025483,2.87E-06,5.46E-08,2.08E-09,2.87E-10,1.18E-09,1.30E-05
18,0.382924923,0.00435068,1.27E-05,5.37E-07,3.93E-07,3.31E-06,0.00014166,0.009959702,0.3052147,1.6141026,2.2420359,2.511434,2.5180833,2.5697412,2.5651474,2.300443,1.4046901,0.27672625,0.019569237,0.000655492,1.88E-05,9.08E-07,1.79E-07,5.58E-07,0.000462869
19,0.382924923,0.000353862,1.43E-07,2.20E-09,6.32E-10,1.79E-09,6.60E-08,3.15E-05,0.04168011,2.809086,3.0750997,3.0817554,3.0812643,3.0783067,3.061448,2.9160829,1.8789761,0.21649937,0.006414535,4.04E-05,1.01E-07,5.11E-10,4.78E-11,6.11E-10,1.53E-05
20,0.241730337,0.000851473,4.32E-07,3.77E-09,7.76E-10,3.47E-09,2.61E-07,0.000114727,0.04903029,2.2651067,3.0056496,3.062545,3.0356398,2.8677583,2.3452706,1.4995103,0.66638076,0.10659459,0.001566343,1.51E-06,4.57E-10,1.29E-12,7.02E-13,1.36E-10,1.48E-05
21,0.241730337,0.000218222,8.32E-08,2.40E-09,1.70E-09,9.66E-09,3.93E-07,0.000114949,0.057259366,2.4834898,3.0351143,3.074929,3.0739403,3.0700068,3.0536692,2.9175591,1.6054137,0.06479174,0.000896073,5.95E-06,3.67E-08,5.20E-10,6.94E-11,6.19E-10,1.24E-05
22,0.382924923,0.002682049,3.44E-06,7.66E-08,8.13E-08,1.74E-06,6.81E-05,0.000588072,0.00066567,0.000209886,5.68E-05,3.28E-05,6.75E-05,0.000505189,0.007822219,0.08948916,0.280658,0.17414655,0.02286627,0.001155607,5.63E-05,4.78E-06,1.17E-06,2.56E-06,0.000948994
