"PVWatts Hourly PV Performance Data"
"Requested Location","austin"
"Location","Lat, Lng: 30.29, -97.7"
"Latitude (DD)","30.29"
"Longitude (DD)","-97.70"
"Elevation (m)","184"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","2.8","0.13","0","12","0","0"
"1","1","1","0","0","11","3","0.13","0","11","0","0"
"1","1","2","0","0","11","3.2","0.13","0","11","0","0"
"1","1","3","0","0","10","3.6","0.13","0","10","0","0"
"1","1","4","0","0","9","3.9","0.13","0","9","0","0"
"1","1","5","0","0","9","4","0.13","0","9","0","0"
"1","1","6","0","0","8","4","0.13","0","8","0","0"
"1","1","7","0","0","8","4.1","0.13","0","0","0","0"
"1","1","8","0","65","8","4.4","0.13","64.891","9.231","219.68","196.042"
"1","1","9","0","73","8","4.6","0.13","69.397","9.286","238.128","213.836"
"1","1","10","0","146","8","4.7","0.13","142.718","10.604","496.015","462.585"
"1","1","11","70","253","9","4.6","0.13","323.383","14.975","1129.923","1074.031"
"1","1","12","46","257","9","4.5","0.13","308.985","14.78","1075.361","1021.402"
"1","1","13","6","188","10","4.3","0.13","189.829","13.648","654.022","614.993"
"1","1","14","26","196","9","4.1","0.13","214.465","13.247","748.332","705.961"
"1","1","15","769","79","9","3.8","0.13","551.204","20.487","1961.661","1876.297"
"1","1","16","0","37","8","2.7","0.13","35.01","8.866","116.408","96.429"
"1","1","17","0","3","6","1.8","0.13","2.91","6.074","5.754","0"
"1","1","18","0","0","5","1.9","0.13","0","5","0","0"
"1","1","19","0","0","5","2.2","0.13","0","5","0","0"
"1","1","20","0","0","4","2.5","0.13","0","4","0","0"
"1","1","21","0","0","4","3","0.13","0","4","0","0"
"1","1","22","0","0","3","3.4","0.13","0","3","0","0"
"1","1","23","0","0","3","3.4","0.13","0","3","0","0"
"1","2","0","0","0","2","3.2","0.13","0","2","0","0"
"1","2","1","0","0","2","3","0.13","0","2","0","0"
"1","2","2","0","0","2","2.8","0.13","0","2","0","0"
"1","2","3","0","0","1","2.6","0.13","0","1","0","0"
"1","2","4","0","0","1","2.6","0.13","0","1","0","0"
"1","2","5","0","0","1","2.6","0.13","0","1","0","0"
"1","2","6","0","0","1","2.6","0.13","0","1","0","0"
"1","2","7","0","0","1","2.8","0.13","0","0","0","0"
"1","2","8","4","66","1","3.2","0.13","67.535","2.531","234.995","210.814"
"1","2","9","30","138","2","3.5","0.13","161.157","5.498","579.749","543.352"
"1","2","10","47","202","3","3.4","0.13","245.279","8.397","876.91","829.983"
"1","2","11","78","256","4","3.3","0.13","333.23","11.441","1180.804","1123.109"
