"PVWatts Hourly PV Performance Data"
"Requested Location","austin"
"Location","Lat, Lng: 30.21, -97.74"
"Latitude (DD)","30.21"
"Longitude (DD)","-97.74"
"Elevation (m)","185.11999511719"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","12","2.8","0.14","0","12","0","0"
"1","1","1","0","0","11","3","0.14","0","11","0","0"
"1","1","2","0","0","11","3.5","0.14","0","11","0","0"
"1","1","3","0","0","10","4","0.14","0","10","0","0"
"1","1","4","0","0","9","4.3","0.14","0","9","0","0"
"1","1","5","0","0","9","4.5","0.14","0","9","0","0"
"1","1","6","0","0","8","4.5","0.14","0","8","0","0"
"1","1","7","0","0","8","4.6","0.14","0","0","0","0"
"1","1","8","0","50","8","4.8","0.14","48.213","8.868","161.525","139.948"
"1","1","9","0","122","8","5.1","0.14","120.636","10.096","421.091","390.315"
"1","1","10","0","134","8","5.2","0.14","130.257","10.23","451.886","420.019"
"1","1","11","29","227","9","5.1","0.14","260.56","13.512","908.389","860.347"
"1","1","12","108","281","9","4.9","0.14","388.882","15.909","1357.95","1293.978"
"1","1","13","0","118","10","4.6","0.14","113.158","12.088","385.094","355.594"
"1","1","14","0","140","9","4.4","0.14","136.229","11.586","470.283","437.765"
"1","1","15","600","97","9","4","0.14","475.955","18.628","1699.464","1623.391"
"1","1","16","49","82","8","3","0.14","106.426","10.497","366.125","337.298"
"1","1","17","0","8","6","2.2","0.14","7.759","6.182","16.08","0"
"1","1","18","0","0","6","2","0.14","0","6","0","0"
"1","1","19","0","0","5","2.1","0.14","0","5","0","0"
"1","1","20","0","0","5","2.3","0.14","0","5","0","0"
"1","1","21","0","0","4","2.8","0.14","0","4","0","0"
"1","1","22","0","0","4","3.4","0.14","0","4","0","0"
"1","1","23","0","0","3","3.7","0.14","0","3","0","0"
"1","2","0","0","0","2","3.8","0.14","0","2","0","0"
"1","2","1","0","0","2","3.7","0.14","0","2","0","0"
