Month,Day,Hour,DC Output (W),AC Output (W),Beam Irradiance (W/m2),Diffuse Irradiance (W/m2),Ambient Temperature (C),Wind Speed (m/s),Albedo,Plane of Array Irradiance (W/m2),Cell Temperature (C),,,,,,,,,,
1,1,0,0,0,0,0,10,4,0.16,0,10,,,,,,,,,,
1,1,1,0,0,0,0,9,4,0.16,0,9,,,,,,,,,,
1,1,2,0,0,0,0,9,4.1,0.16,0,9,,,,,,,,,,
1,1,3,0,0,0,0,9,4.5,0.16,0,9,,,,,,,,,,
1,1,4,0,0,0,0,8,4.7,0.16,0,8,,,,,,,,,,
1,1,5,0,0,0,0,8,4.7,0.16,0,8,,,,,,,,,,
1,1,6,0,0,0,0,8,4.8,0.16,0,8,,,,,,,,,,
1,1,7,52.474,34.761,77,15,8,5.1,0.16,29.462,8.398,,,,,,,,,,
1,1,8,1050.037,996.975,533,65,10,5.7,0.16,302.613,14.872,,,,,,,,,,
1,1,9,1954.088,1868.992,742,84,12,6.2,0.16,549.369,20.441,,,,,,,,,,
1,1,10,2568.789,2461.912,853,90,14,6,0.16,740.985,25.619,,,,,,,,,,
1,1,11,2911.17,2792.161,909,90,15,5.7,0.16,855.117,28.856,,,,,,,,,,
1,1,12,3006.597,2884.207,925,90,16,5.4,0.16,892.078,30.969,,,,,,,,,,
1,1,13,2866.319,2748.9,918,85,16,5.1,0.16,847.307,30.758,,,,,,,,,,
1,1,14,2497.613,2393.258,878,79,16,4.8,0.16,729.073,29.21,,,,,,,,,,
1,1,15,1862.383,1780.537,784,69,15,4.2,0.16,532.716,25.483,,,,,,,,,,
1,1,16,958.747,908.92,588,49,12,3,0.16,287.075,18.681,,,,,,,,,,
1,1,17,0,0,0,0,10,2.4,0.16,0,0,,,,,,,,,,
1,1,18,0,0,0,0,8,2.7,0.16,0,8,,,,,,,,,,
1,1,19,0,0,0,0,7,3,0.16,0,7,,,,,,,,,,
1,1,20,0,0,0,0,7,3.2,0.16,0,7,,,,,,,,,,
1,1,21,0,0,0,0,6,3.2,0.16,0,6,,,,,,,,,,
1,1,22,0,0,0,0,5,3.3,0.16,0,5,,,,,,,,,,
