,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.463787,0.45534199999999997,0.36203199999999996,0.386963,0.387032,0.33784,0.125233,0.329913,0.189572,0.073323,0.187933,0.155922,0.309658,0.348682,0.21501499999999998,0.37793,0.108276,0.249751,0.262411,0.048098999999999996,0.22530799999999998,0.265565,0.210848,0.0,0.004033999999999999,0.21992699999999998,0.204127,0.06082,0.154302,0.125422,0.1616155,0.1983905,0.0781875,0.3604535,0.28229024999999996,0.23260975,0.212027,0.1199015,0.1020105,0.1420855,0.167867,0.05100525,0.20461925,0.1616455,0.227185125,0.1649565,0.3247215,0.238713,0.21063674999999998,0.158285125,0.25632725,0.106310375,0.0260665,0.23599925,0.143406,0.2159021875,0.19098199999999999,0.24629425,0.26050162499999996,0.03708275
8,1.417631,1.3801269999999999,1.2228240000000001,1.26273,1.292079,0.376351,0.5079130000000001,1.2033219999999998,0.67908,0.292143,1.2548350000000001,1.10199,1.191397,0.694385,1.481208,1.3786500000000002,0.196899,0.034305999999999996,0.266346,0.275094,1.147751,0.219228,0.271806,0.020883,0.021072,1.37593,1.2912139999999999,0.900207,1.202903,1.065922,0.5832765,0.4847395,0.2359965,0.7996774999999999,1.0454457499999998,0.76403775,1.333572,0.40963649999999996,0.688542,0.2819745,0.2792445,0.3547125,0.37827275,0.8390535,0.206289375,0.6121024999999999,0.7792125,0.873777,0.84994225,0.28697025,1.0170237500000001,0.4689945,0.148083,0.7426482499999999,0.5744355,0.29228106249999997,0.6998610000000001,0.5292285,0.9596113749999999,0.2115885
9,2.158689,2.031122,1.900816,2.002077,2.0370820000000003,0.639818,0.616088,0.556121,2.09594,0.148548,1.987145,1.835363,1.9124210000000001,1.5962429999999999,2.2630079999999997,2.1339140000000003,1.018421,0.063802,0.444757,0.363622,1.89693,0.391582,0.20111199999999999,0.134382,0.115351,2.2069,2.093275,1.4082739999999998,2.010857,0.420491,0.9265154999999999,0.9799324999999999,0.6910215,1.211352,1.6523135,1.3640517500000002,2.1500875,0.8087685,1.0994925,0.17482999999999999,0.2966525,0.61693725,0.5905222499999999,1.6407144999999999,0.32716212499999997,0.3452515,1.2409195000000002,1.3538824999999999,1.309813,0.504259625,1.6140322500000002,0.771726375,0.2394865,0.36547549999999995,0.85875225,0.45884218749999994,1.1246325000000001,0.7687860000000001,1.503098,0.30155425
