Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,
Baseline,,8914214.4,4591202.984,40568484.15,0.347499505,0.421392941,92650.05221,0.727402517,1375190.306,2707554.871,519953.1995,519953.1995,0.588795092,0.498200906,0.379253647,0.457795284,2400,2604,0,1200,1345,0.470946736,5.42%
Trans,0,8914214.4,4591280.803,57327106.63,0.560996277,0.404517501,0,0.750002189,1466066.959,2785500.847,519953.1995,493956.5833,0.311613734,0.32502508,0.364065751,0.484688553,2400,2604,0,1200,1345,1,5.00%
Trans,0.1,8914214.4,4591271.457,50895151,0.472388894,0.413174458,38515.66601,0.740690232,1420615.925,2752512.023,519953.1995,493032.8962,0.4177115,0.391274144,0.371857012,0.465621327,2400,2604,0,1200,1345,0.623787087,5.18%
Trans,0.2,8914214.4,4591223.574,44906952.95,0.388140476,0.419318024,74995.94605,0.731656285,1386512.748,2721246.083,519953.1995,492157.4499,0.571393493,0.44264839,0.377386222,0.452005159,2400,2604,0,1200,1345,1,5.35%
Trans,0.3,8914214.4,4591181.894,39464486.71,0.310444445,0.423415811,109026.3054,0.723558002,1367283.846,2696174.964,519953.1995,491455.4586,0.621701478,0.538927291,0.38107423,0.450192751,2400,2604,0,1200,1345,0,5.48%
Trans,0.4,9195222.4,4209364.596,36185103.28,0.25153537,0.413246051,141729.3232,0.716782182,1416854.261,2678557.88,519953.1995,490962.1802,0.650557861,0.601380309,0.371921446,0.427721319,1800,2759,0,1500,1190,0,5.58%
Trans,0.5,9195222.4,4209364.596,32465572.27,0.193429505,0.413891365,168050.76,0.711739787,1407406.058,2666531.924,519953.1995,490625.4535,0.698402057,0.668105537,0.372502228,0.414245105,1800,2759,0,1500,1190,0,5.64%
Trans,0.6,9195222.4,4209364.595,29504363.04,0.14999428,0.413798517,189168.0262,0.708678794,1399860.693,2660668.765,519953.1995,490461.285,0.757660711,0.740717439,0.372418665,0.409514584,1800,2759,0,1500,1190,0,5.67%
Trans,0.7,9195222.4,4209364.595,27256775.29,0.119234339,0.412863285,205512.4843,0.708008633,1394387.003,2663780.389,519953.1995,490548.4105,0.785990819,0.785089487,0.371576957,0.404529554,1800,2759,0,1500,1190,0,5.66%
Trans,0.8,9195222.4,4209364.594,25916603.35,0.10610812,0.411965844,214953.4736,0.706594039,1390594.146,2662181.708,519953.1995,490503.6474,0.791155697,0.818976367,0.370769259,0.400880186,1800,2759,0,1500,1190,0,5.66%
Trans,0.9,9195222.4,4209364.594,24987351.85,0.097731781,0.411099579,221989.6072,0.706131778,1388721.526,2664009.938,519953.1995,490554.8378,0.830832125,0.832777812,0.369989621,0.39970245,1800,2759,0,1500,1190,0,5.65%
