Settings,L1,L2,L3,L4,L5
Budget Importance = 1,,"(300, 299)",,,
,"(103, 109, 0)","(95,0, 0)",,"(0, 11, 0)",
Budget Importance = 0.75,"(300, 318)",,,,
,"(92, 0, 0)","(184, 184, 0)",,"(65, 259)",
Budget Importance = 0.5,"(300, 318)","(300, 299, 0)",,,
,"(92,0,0)","(92,0,0)","(9, 64,0)","(138, 547,0)",
Budget Importance = 0.25,"(300, 318,0)","(300, 299)",,"(300, 1190)",
,"(92, 0, 0)","(92, 0,0)","(118, 846,0)","(92,0,0)",
VoLL = 1,,"(300, 299)",,,
,"(103, 109, 0)","(95,0, 0)",,"(0, 11, 0)",
VoLL = 5,,,,,
,,,,,
VoLL = 10,,,,,
,,,,,
VoLL = 20,,,,,
,,,,,
TransMax = 0.25,,"(300, 299)",,,
,"(103, 109, 0)","(95,0, 0)",,"(0, 11, 0)",
TransMax = 0.5,,,,,
,,,,,
TransMax = 0.75,,,,,
,,,,,
TransMax = 1,,,,,
Year =5,,,,,
,,,,,
Year =10,,,,,
,,,,,
Year =15,,,,,
