Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Load Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2
Baseline,,3711008,252069.813,8845761.402,0.226832562,0.607569892,21934.48725,0.725873448,428210.8073,590829.7173,121836.2391,115193.8828,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049
Trans,0,3711008,252077.7916,12485620.49,0.377370598,0.591812838,1.31E-16,0.75000001,455747.5967,609181.2525,121836.2391,115744.4288,0.301217912,0.441262352,0.532631554,0.687466291,1500,1030,0,750,0,0.173642041
Trans,0.1,3711008,252074.281,10898660.45,0.311927885,0.599536804,9455.65683,0.739924119,442495.4373,601459.4155,121836.2391,115512.7737,0.405136971,0.389703134,0.539583123,0.662932258,1500,1030,0,749.9999953,0,0.165809349
Trans,0.2,3711008,252071.2731,9492359.666,0.253701093,0.605239729,17980.70607,0.730399165,432096.6455,594243.7694,121836.2391,115296.3043,0.537532007,0.332737251,0.544715756,0.642194213,1500,1030,0,749.9999856,0,0.159102464
Trans,0.3,3711008,252068.7239,8249968.158,0.201810432,0.608981545,25750.29589,0.72143338,424759.3707,587530.505,121836.2391,115094.9064,0.621709629,0.270302368,0.54808339,0.623759033,1500,1030,0,749.9999793,0,0.15341713
Trans,0.4,3711008,252061.8393,7164634.624,0.157015423,0.611994984,32859.42174,0.713138442,419875.4823,581615.8559,121836.2391,114917.4669,0.701927457,0.213534122,0.550795486,0.601216115,1500,1030,0,749.9858901,0,0.148616562
Trans,0.5,3711008,251546.8072,6325388.075,0.124690874,0.61398792,38313.12297,0.707059292,418470.512,577598.4847,121836.2391,114796.9458,0.752498334,0.170386082,0.552589128,0.593218548,1500,1030,0,748.4607141,0,0.142873376
Trans,0.6,3711008,251351.0419,5688407.252,0.102512832,0.614199541,42401.64589,0.702210966,418679.2317,574715.3454,121836.2391,114710.4516,0.754701234,0.140117521,0.552779587,0.577894611,1500,1030,0,747.8819439,0,0.139974829
Trans,0.7,3711008,251298.4038,5160066.744,0.086041143,0.615548158,45879.90273,0.698270766,418838.566,572793.8824,121836.2391,114652.8077,0.803773533,0.120595163,0.553993342,0.560237193,1500,1030,0,747.7287924,0,0.137342705
Trans,0.8,3711008,247302.0533,4709268.72,0.072874064,0.613009903,48993.68459,0.693682226,418763.0542,570543.1947,121836.2391,114585.2871,0.829745582,0.095002206,0.551708913,0.554282467,1500,1030,0,735.8384566,0,0.134669489
Trans,0.9,3711008,247212.4545,4311456.015,0.061171841,0.612272929,51795.38137,0.689395254,418768.1417,568314.4379,121836.2391,114518.4244,0.864366404,0.083736091,0.551045636,0.545019512,1500,1030,0,735.5780772,0,0.129956613
Trans,1,3711008,247210.5449,3981948.344,0.051261664,0.61297057,54011.43017,0.686356008,418851.2562,566881.8572,121836.2391,114475.447,0.904450576,0.067260801,0.551673513,0.543425709,1500,1030,0,735.5780772,0,0.125693999
Year,1,,,,,,,,,,,,,,,,,,,,,
Year,2,,,,,,,,,,,,,,,,,,,,,
Year,3,,,,,,,,,,,,,,,,,,,,,
Year,4,,,,,,,,,,,,,,,,,,,,,
Year,5,,,,,,,,,,,,,,,,,,,,,
Year,6,,,,,,,,,,,,,,,,,,,,,
Year,7,,,,,,,,,,,,,,,,,,,,,
Year,8,,,,,,,,,,,,,,,,,,,,,
Year,9,,,,,,,,,,,,,,,,,,,,,
Year,10,,,,,,,,,,,,,,,,,,,,,
Year,11,,,,,,,,,,,,,,,,,,,,,
Year,12,,,,,,,,,,,,,,,,,,,,,
Year,13,,,,,,,,,,,,,,,,,,,,,
Year,14,,,,,,,,,,,,,,,,,,,,,
Year,15,,,,,,,,,,,,,,,,,,,,,
Year,16,,,,,,,,,,,,,,,,,,,,,
Year,17,,,,,,,,,,,,,,,,,,,,,
