Settings,Value,Load Lost,Load Served,Load Transferred,Grid Load,Grid Exported,Grid Imported,Bill Before,Bill After,
Budget Importance,1,5.03%,88.58%,0.00%,6.39%,5905.25,42423.48,101158.73,82464.40832,18.48%
Budget Importance,0.75,4.21%,94.43%,0.00%,1.36%,15636.40,8935.51,101158.73,81250.80403,19.68%
Budget Importance,0.5,2.71%,96.25%,0.00%,1.04%,116144.59,6814.76,101158.73,81173.94812,19.76%
Budget Importance,0.25,2.60%,96.46%,0.00%,0.94%,201073.33,6166.39,101158.73,81150.45107,19.78%
VoLL,1,5.03%,88.58%,0.00%,6.39%,5905.25,42423.48,101158.73,82464.40832,18.48%
VoLL,5,4.21%,94.42%,0.00%,1.36%,16158.77,8986.85,101158.73,81252.66462,19.68%
VoLL,10,2.40%,96.50%,0.00%,1.10%,31788.47,7250.67,101158.73,81189.74556,19.74%
VoLL,20,1.70%,97.31%,0.00%,0.99%,65705.36,6529.72,101158.73,81163.61818,19.77%
Year,5,4.16%,59.39%,0.00%,36.46%,6737.86,180361.49,79092.29,69810.13523,11.74%
Year,10,5.03%,88.58%,0.00%,6.39%,5905.25,42423.48,101158.73,82464.40832,18.48%
Year,15,8.05%,76.68%,0.00%,15.28%,8460.17,140753.02,138701.31,116061.9396,16.32%
Trans,0.25,0.00%,0.00%,0.00%,0.00%,0,0,0,0,
Trans,0.5,0.00%,0.00%,0.00%,0.00%,0,0,0,0,
Trans,0.75,0.00%,0.00%,0.00%,0.00%,0,0,0,0,
Trans,1,0.00%,0.00%,0.00%,0.00%,0,0,0,0,
