Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost,Load Served,Load Transferred,Grid Load,Grid Exported,Grid Imported,Bill Before,Bill After,Robustness,Redundancy,Resourcefulness,ES1,PV1,DG1,ES2,PV2,DG2,Run Time,Gap %,
Budget,1,3810410,203661.3214,-1657049.934,0.466327443,0.736474542,0,0.009216073,252404.8336,18148.6642,121711.2059,97913.42464,0.464544386,0.662827088,0.757740739,1500,1030,0,590.3226708,0,0,254,0,
Budget,0.75,1022235,699280.1436,1583307.117,0.042113578,0.944298137,0,0.013588285,15636.40045,8935.507533,101158.7266,81250.80403,0.654045436,0.404095987,0.394931669,600,255,0,334,183,0,1005.23,1.81,*
Budget,0.5,2440898,1144892.65,-568695.4078,0.027144075,0.962500593,0,0.010355333,116144.59,6814.759235,101158.7266,81173.94812,0.654045436,0.647712818,0.648251628,1200,634,0,654,288,0,292.01,0.71,*
Budget,0.25,3810410,188038.0629,-2085777.103,0.025962731,0.964597097,0,0.009440172,201073.3265,6166.385967,101158.7266,81150.45107,0.654045436,0.661482885,0.653637551,1500,1030,0,545,0,0,86.16,0,*
VoLL,1,3810410,203661.3214,-1657049.934,0.466327443,0.736474542,0,0.009216073,252404.8336,18148.6642,121711.2059,97913.42464,0.464544386,0.662827088,0.757740739,1500,1030,0,590.3226708,0,0,254,0,
VoLL,5,1022235,446627.31,3180472.413,0.042138068,0.94424533,0,0.013616602,16158.76951,8986.848193,101158.7266,81252.66462,0.654045436,0.405016515,0.358131864,600,255,0,388,98,0,363.15,0,*
VoLL,10,1550936,510210.3951,3437608.704,0.023978723,0.965024987,0,0.01099629,31788.47222,7250.670997,101158.7266,81189.74556,0.654045436,0.526548638,0.460683356,900,388,0,452,110,6,288.08,0,*
VoLL,20,2185138,655436.4317,3647248.53,0.016971996,0.973119778,0,0.009908227,65705.36138,6529.716797,101158.7266,81163.61818,0.654045436,0.622662914,0.591134283,1200,554,0,505,149,8,210.17,1.03,*
Year,5,0,980230.6876,2906546.547,0.041550197,0.593890458,0,0.364559345,6737.855921,180361.4948,79092.29332,69810.13523,0.654045436,0.228738735,0.235511082,0,0,0,501,253,0,260.61,1.71,*
Year,10,3810410,203661.3214,-1657049.934,0.466327443,0.736474542,0,0.009216073,252404.8336,18148.6642,121711.2059,97913.42464,0.464544386,0.662827088,0.757740739,1500,1030,0,590.3226708,0,0,254,0,
Year,15,976005,127577.4116,2128140.984,0.080491895,0.766755512,0,0.152752592,8460.171114,140753.0212,138701.3127,116061.9396,0.654045436,0.284272971,0.278731251,466,255,0,370,0,0,243.81,1.51,*
Trans,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Trans,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Trans,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Trans,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
