Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,
Baseline,,3711008,252069.813,8845761.402,0.226832562,0.607569892,21934.48725,0.725873448,428210.8073,590829.7173,121836.2391,115193.8828,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
Trans,0,3711008,252077.7916,12485620.49,0.377370598,0.591812838,1.31E-16,0.75000001,455747.5967,609181.2525,121836.2391,115744.4288,0.301217912,0.441262352,0.532631554,0.687466291,1500,1030,0,750,0,0.173642041,5.00%
Trans,0.1,3711008,252074.281,10898660.45,0.311927885,0.599536804,9455.65683,0.739924119,442495.4373,601459.4155,121836.2391,115512.7737,0.405136971,0.389703134,0.539583123,0.662932258,1500,1030,0,749.9999953,0,0.165809349,5.19%
Trans,0.2,3711008,252071.2731,9492359.666,0.253701093,0.605239729,17980.70607,0.730399165,432096.6455,594243.7694,121836.2391,115296.3043,0.537532007,0.332737251,0.544715756,0.642194213,1500,1030,0,749.9999856,0,0.159102464,5.37%
Trans,0.3,3711008,252068.7239,8249968.158,0.201810432,0.608981545,25750.29589,0.72143338,424759.3707,587530.505,121836.2391,115094.9064,0.621709629,0.270302368,0.54808339,0.623759033,1500,1030,0,749.9999793,0,0.15341713,5.53%
Trans,0.4,3711008,252061.8393,7164634.624,0.157015423,0.611994984,32859.42174,0.713138442,419875.4823,581615.8559,121836.2391,114917.4669,0.701927457,0.213534122,0.550795486,0.601216115,1500,1030,0,749.9858901,0,0.148616562,5.68%
Trans,0.5,3711008,251546.8072,6325388.075,0.124690874,0.61398792,38313.12297,0.707059292,418470.512,577598.4847,121836.2391,114796.9458,0.752498334,0.170386082,0.552589128,0.593218548,1500,1030,0,748.4607141,0,0.142873376,5.78%
Trans,0.6,3711008,251351.0419,5688407.252,0.102512832,0.614199541,42401.64589,0.702210966,418679.2317,574715.3454,121836.2391,114710.4516,0.754701234,0.140117521,0.552779587,0.577894611,1500,1030,0,747.8819439,0,0.139974829,5.85%
Trans,0.7,3711008,251298.4038,5160066.744,0.086041143,0.615548158,45879.90273,0.698270766,418838.566,572793.8824,121836.2391,114652.8077,0.803773533,0.120595163,0.553993342,0.560237193,1500,1030,0,747.7287924,0,0.137342705,5.90%
Trans,0.8,3711008,247302.0533,4709268.72,0.072874064,0.613009903,48993.68459,0.693682226,418763.0542,570543.1947,121836.2391,114585.2871,0.829745582,0.095002206,0.551708913,0.554282467,1500,1030,0,735.8384566,0,0.134669489,5.95%
Trans,0.9,3711008,247212.4545,4311456.015,0.061171841,0.612272929,51795.38137,0.689395254,418768.1417,568314.4379,121836.2391,114518.4244,0.864366404,0.083736091,0.551045636,0.545019512,1500,1030,0,735.5780772,0,0.129956613,6.01%
Trans,1,3711008,247210.5449,3981948.344,0.051261664,0.61297057,54011.43017,0.686356008,418851.2562,566881.8572,121836.2391,114475.447,0.904450576,0.067260801,0.551673513,0.543425709,1500,1030,0,735.5780772,0,0.125693999,6.04%
Year,1,3711008,252003.0845,-110982.2775,0.065883382,0.846229673,11672.6558,0.733444489,520097.5817,344134.4748,70256.98156,66529.61949,0.754005446,0.104130976,0.761606706,0.795325316,1500,1030,0,750,0,0.006885066,5.31%
Year,2,3711008,252007.8929,625667.5125,0.073525901,0.830616935,12551.49804,0.732132241,510615.07,359980.6288,73605.95347,69684.18164,0.733054447,0.117498283,0.747555241,0.795240652,1500,1030,0,750,0,0.017617969,5.33%
Year,3,3711008,252013.3577,1469938.483,0.084249755,0.808137368,13499.87631,0.730774285,500684.5978,377692.4485,77362.18703,73220.52308,0.718320587,0.137391885,0.727323631,0.774681014,1500,1030,0,750,0,0.029816267,5.35%
Year,4,3711008,252019.3393,2403889.178,0.097760542,0.781927289,14571.52009,0.729700547,490072.4233,397710.8102,81587.06979,77200.98014,0.714995864,0.156739028,0.70373456,0.749264355,1500,1030,0,749.9999901,0,0.043175431,5.38%
Year,5,3711008,252025.887,3416425.733,0.114750511,0.752452556,15600.46742,0.728505323,479241.3984,420238.927,86352.56913,81689.22312,0.687197696,0.172721447,0.6772073,0.742912502,1500,1030,0,749.9999845,0,0.057795152,#DIV/0!
Year,6,3711008,252033.3514,4480848.267,0.134635111,0.723304683,16674.16179,0.727850246,468003.6659,446031.2305,91743.22199,86775.5145,0.639661143,0.198302889,0.650974215,0.721031671,1500,1030,0,749.9999801,0,0.074459923,#DIV/0!
Year,7,3711008,252041.3629,5562492.612,0.155497351,0.69345513,17965.4023,0.726942208,456472.0793,475176.7505,97858.52404,92542.12174,0.636724029,0.227345455,0.624109617,0.702984314,1500,1030,0,749.9999797,0,0.092343113,#DIV/0!
Year,8,3711008,252050.1649,6671606.759,0.17828504,0.663742978,19272.53521,0.72633382,446151.294,508542.3889,104815.803,99108.91404,0.594188336,0.244064287,0.59736868,0.669709717,1500,1030,0,749.9999801,0,0.111990272,#DIV/0!
Year,9,3711008,252059.8494,7783056.942,0.202845399,0.634925176,20518.29588,0.726081864,436843.6887,546878.1119,112753.679,106609.2865,0.612278948,0.276419749,0.571432659,0.653243666,1500,1030,0,749.9999804,0,0.133607123,#DIV/0!
Year,10,3711008,252069.813,8845761.402,0.226832562,0.607569892,21934.48725,0.725873448,428210.8073,590829.7173,121836.2391,115193.8828,0.586289696,0.304410061,0.546812903,0.628619045,1500,1030,0,749.9999808,0,0.155847049,5.45%
Year,11,3711008,252079.4992,9824909.199,0.250279818,0.581002148,23556.92116,0.725724934,419480.7637,641438.4034,132258.0795,125049.6157,0.552092886,0.32945152,0.522901933,0.606483275,1500,1030,0,749.9999811,0,0.17746787,#DIV/0!
Year,12,3711008,252090.0068,10671410.92,0.273559954,0.555712934,25402.01807,0.725812462,410892.7701,700270.0046,144250.4065,136408.4253,0.558191793,0.339342286,0.50014164,0.583259625,1500,1030,0,749.9999814,0,0.200922072,
