Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,Saving
Budget,1,1366086.4,1311583,38281028.23,0.590561951,0.111651378,60554.90065,0.746901555,38535.16271,2203127.281,412455.0022,391651.5657,0.622201278,0.091162406,0.10048624,0.127781475,600,374,0,421,376,1,5.04%
Trans,0,1366086.4,306309,46349100.22,0.864885961,0.097576497,0,0.753285615,36893.23821,2219670.466,412455.0022,392114.7748,0.065976754,0.052261611,0.087818848,0.116393346,600,374,0,321,64,1,4.93%
Trans,0.1,1366086.4,309045,42944222.17,0.760508022,0.097778363,24283.13836,0.750924126,35435.98957,2213694.84,412455.0022,391947.4573,0.13644488,0.043978042,0.088000526,0.116378925,600,374,0,321,65,1,4.97%
Trans,0.2,1366086.4,600090,39695039.99,0.652236774,0.101878928,48501.60915,0.749765568,35435.83127,2211343.781,412455.0022,391881.6277,0.401793885,0.033659226,0.091691035,0.121358943,600,374,0,350,155,1,4.99%
Trans,0.3,1366086.4,1738084,37003195.06,0.53632617,0.117255207,71862.34637,0.747311889,44857.56045,2204883.615,412455.0022,391700.743,0.722291078,0.058951237,0.105529686,0.126357776,600,374,0,464,508,1,5.03%
Trans,0.4,1366086.4,3053445,34870405.13,0.426630299,0.134166087,93411.20376,0.745464037,89368.17088,2200088.773,412455.0022,391566.4874,0.763827953,0.168508614,0.120749478,0.148107816,600,374,0,596,916,1,5.06%
Trans,0.5,4351110.4,162831,25359919.91,0.319274625,0.173754623,110091.2989,0.742107848,316426.763,2191079.467,412455.0022,391314.2269,0.881252997,0.45977803,0.156379161,0.189801699,866,1304,0,484,0,0,5.13%
Trans,0.6,1363062.4,3085180,32539018.8,0.340336752,0.120215656,116854.0723,0.745106538,90607.85497,2200111.571,412455.0022,391567.1258,0.901929472,0.32537087,0.10819409,0.138292351,591,374,0,607,925,0,5.06%
Trans,0.7,3942265.6,571215,24591882.49,0.271884852,0.159839542,124381.4494,0.741118691,282444.4292,2189740.47,412455.0022,391276.735,0.951720526,0.541594672,0.143855587,0.188363108,789,1181,0,561,123,0,5.13%
Trans,0.8,4283574.4,230350,23581894.38,0.254060299,0.154346429,130249.2019,0.740876047,320661.5775,2189500.695,412455.0022,391270.0212,0.954443198,0.579726213,0.138911787,0.173540721,665,1304,0,685,0,0,5.14%
Trans,0.9,4017484.8,493337,23848650.89,0.251456758,0.152526588,131289.3446,0.741106633,287042.2409,2191048.217,412455.0022,391313.3518,0.961091917,0.582390865,0.137273929,0.162864302,809,1203,0,541,100,0,5.13%
Trans,1,4280886.4,233023,23123283.7,0.239309485,0.148837729,135425.2843,0.741797434,321377.1334,2192303.237,412455.0022,391348.4924,0.960661468,0.584958956,0.133953956,0.159426275,657,1304,0,693,0,0,5.12%
Year,1,207872,1582951.114,16288276.8,0.555986456,0.146035488,25128.85318,0.740265915,36405.4886,890058.9925,168316.1875,159574.6018,0.46559042,0.06267122,0.131431939,0.187678283,248,40,0,539,450,0,5.19%
Year,2,225344,1476813.95,18833436.45,0.565044273,0.136978035,27142.56823,0.736787353,30692.82417,959536.8405,182304.9826,172711.0176,0.468722775,0.053909551,0.123280231,0.174877366,300,40,0,479,423,0,5.26%
Year,3,225344,1519276.923,21511138.06,0.573411074,0.128611647,29482.35148,0.736430013,28856.33482,1044362.805,198516.6669,188055.492,0.536077868,0.034251698,0.115750482,0.162583914,300,40,0,483,436,0,5.27%
Year,4,225344,1553837.823,24287623.09,0.58192195,0.120100605,32200.12305,0.736793438,26812.78963,1143804.906,217305.9513,205871.2984,0.521323613,0.039105489,0.108090544,0.15003616,300,40,0,486,447,0,5.26%
Year,5,225344,1636875.83,27149836.32,0.589006069,0.113016646,35363.48697,0.737772083,25569.07781,1260171.562,239084.2496,226552.2034,0.435460174,0.016586294,0.101714981,0.139708491,300,40,0,495,472,0,5.24%
Year,6,225344,1726944.087,30077875.55,0.595864117,0.106158318,39035.13548,0.739723413,24660.54834,1397049.968,264328.7586,250580.406,0.564546518,0.030310641,0.095542486,0.129653169,300,40,0,504,500,0,5.20%
Year,7,225344,1930051.475,33075254.16,0.600306663,0.101716453,43296.18194,0.741749083,25061.85414,1556139.371,293592.9959,278446.2991,0.533634585,0.015080237,0.091544808,0.12307734,300,40,0,524,563,0,5.16%
